File,CDS,rRNA,tRNA,ncRNA,gene,tmRNA
AR465,2740,19,60,0,2819,0
M48,3171,16,60,3,3251,1
P10,3179,8,59,3,3250,1
R50,2935,10,59,3,3008,1
V521,3114,16,60,3,3194,1
